time,latitude,longitude,altitude,apogeu,vel_vertical,q1,q2,q3,q4,accel_int,status,voltage_int,fix
4536,0.0,0.0,6746,13492,0,-0.6871769428253174,0.17116890847682953,0.13391906023025513,-0.6932205557823181,107,0,39,0
4566,0.0,0.0,6746,13492,0,-0.6868347525596619,0.1712854951620102,0.13440795242786407,-0.6934362053871155,107,0,39,0
4596,0.0,0.0,6745,13492,0,-0.6864715814590454,0.1719595044851303,0.13429699838161469,-0.693650484085083,106,0,39,0
4631,0.0,0.0,6746,13492,0,-0.6864601373672485,0.17184941470623016,0.13495737314224243,-0.6935609579086304,107,0,39,0
4675,0.0,0.0,6745,13492,0,-0.6867368221282959,0.17177531123161316,0.13559924066066742,-0.6931800842285156,107,0,39,0
4706,0.0,0.0,6745,13492,0,-0.6869386434555054,0.17244434356689453,0.13549955189228058,-0.692833423614502,106,0,39,0
4735,0.0,0.0,6745,13492,0,-0.6870610117912292,0.1734948754310608,0.13507629930973053,-0.6925323605537415,107,0,39,0
4766,0.0,0.0,6745,13492,0,-0.6868197917938232,0.17397354543209076,0.13514095544815063,-0.6926389932632446,106,0,39,0
4796,0.0,0.0,6745,13492,0,-0.6865392327308655,0.17429612576961517,0.13546863198280334,-0.6927719116210938,106,0,39,0
4826,0.0,0.0,6745,13492,0,-0.6862162351608276,0.1744401752948761,0.13578391075134277,-0.6929939985275269,106,0,39,0
4856,0.0,0.0,6746,13492,0,-0.6858807802200317,0.17472214996814728,0.135882169008255,-0.6932356953620911,106,0,39,0
4886,0.0,0.0,6745,13492,0,-0.6859087347984314,0.17513808608055115,0.13585872948169708,-0.6931076645851135,107,0,39,0
4916,0.0,0.0,6746,13492,0,-0.6860211491584778,0.1753472536802292,0.1360478699207306,-0.6929064393043518,107,0,39,0
4946,0.0,0.0,6746,13492,0,-0.6861417889595032,0.17536909878253937,0.13658255338668823,-0.6926762461662292,106,0,39,0
4975,0.0,0.0,6746,13492,0,-0.686152458190918,0.17513808608055115,0.13741569221019745,-0.6925593018531799,106,0,39,0
5006,0.0,0.0,6745,13492,0,-0.686093270778656,0.17511828243732452,0.13802894949913025,-0.6925010085105896,106,0,39,0
5036,0.0,0.0,6746,13492,0,-0.6858990788459778,0.1754908412694931,0.13819560408592224,-0.6925658583641052,107,0,39,0
5066,0.0,0.0,6746,13492,0,-0.6856176853179932,0.17574690282344818,0.13848240673542023,-0.6927222013473511,107,0,39,0
5096,0.0,0.0,6746,13492,0,-0.6854861378669739,0.17596037685871124,0.13869953155517578,-0.6927547454833984,106,0,39,0
5132,0.0,0.0,6745,13492,0,-0.6858921051025391,0.1760726124048233,0.13919764757156372,-0.6922243237495422,107,0,39,0
5166,0.0,0.0,6745,13492,0,-0.6860133409500122,0.17666685581207275,0.1391482800245285,-0.6919625997543335,106,0,39,0
5195,0.0,0.0,6745,13492,0,-0.686069130897522,0.17740678787231445,0.1390407234430313,-0.691739559173584,106,0,39,0
5226,0.0,0.0,6746,13492,0,-0.6857366561889648,0.17833489179611206,0.13879625499248505,-0.6918796896934509,107,0,39,0
5256,0.0,0.0,6745,13492,0,-0.6853927373886108,0.17845533788204193,0.13920500874519348,-0.6921072602272034,106,0,39,0
5286,0.0,0.0,6745,13492,0,-0.6851957440376282,0.1784166693687439,0.13972876965999603,-0.6922067403793335,106,0,39,0
5316,0.0,0.0,6746,13492,0,-0.6849786639213562,0.1788453310728073,0.13976819813251495,-0.6923030018806458,106,0,39,0
5345,0.0,0.0,6746,13492,0,-0.6850817203521729,0.17903977632522583,0.13997691869735718,-0.6921085119247437,107,0,39,0
5376,0.0,0.0,6746,13492,0,-0.6852178573608398,0.1793026328086853,0.14025697112083435,-0.6918489933013916,107,0,39,0
5396,0.0,0.0,6746,13492,0,-0.6853023767471313,0.17929582297801971,0.1406657099723816,-0.6916840076446533,107,0,39,0
5426,0.0,0.0,6746,13492,0,-0.6852512955665588,0.17918597161769867,0.14142009615898132,-0.6916093230247498,106,0,39,0
5455,0.0,0.0,6746,13492,0,-0.6850929260253906,0.17965702712535858,0.14157703518867493,-0.6916118860244751,106,0,39,0
5486,0.0,0.0,6746,13492,0,-0.6848853230476379,0.179768368601799,0.14204169809818268,-0.6916933059692383,107,0,39,0
5516,0.0,0.0,6746,13492,0,-0.6846708655357361,0.17990374565124512,0.14249618351459503,-0.6917768716812134,106,0,39,0
5546,0.0,0.0,6746,13492,0,-0.6848164200782776,0.18001848459243774,0.14284877479076385,-0.691530168056488,107,0,39,0
5576,0.0,0.0,6746,13492,0,-0.6850100755691528,0.18027332425117493,0.14308130741119385,-0.6912239193916321,106,0,39,0
5612,0.0,0.0,6746,13492,0,-0.6851726770401001,0.1810367852449417,0.14313559234142303,-0.6908518671989441,106,0,39,0
5646,0.0,0.0,6746,13492,0,-0.685009777545929,0.18177811801433563,0.14301204681396484,-0.6908442974090576,107,0,39,0
5676,0.0,0.0,6745,13492,0,-0.6848253607749939,0.18214546144008636,0.14324426651000977,-0.6908822655677795,106,0,39,0
5706,0.0,0.0,6745,13492,0,-0.684651255607605,0.18222925066947937,0.14372307062149048,-0.6909332871437073,106,0,39,0
5735,0.0,0.0,6745,13492,0,-0.6844518184661865,0.18207965791225433,0.14431092143058777,-0.6910477876663208,106,0,39,0
5765,0.0,0.0,6745,13492,0,-0.6845793128013611,0.18238213658332825,0.1444922685623169,-0.6908038258552551,108,0,39,0
5796,0.0,0.0,6745,13492,0,-0.6851188540458679,0.18111714720726013,0.1465446501970291,-0.690169095993042,113,0,39,0
5826,0.0,0.0,6745,13492,0,-0.684304416179657,0.18142001330852509,0.14671555161476135,-0.69086092710495,102,1,39,0
5856,0.0,0.0,6745,13492,0,-0.6838889718055725,0.18040169775485992,0.14812953770160675,-0.6912370920181274,101,1,39,0
5886,0.0,0.0,6745,13492,0,-0.6836151480674744,0.1811097264289856,0.14817264676094055,-0.6913135647773743,107,1,39,0
5916,0.0,0.0,6745,13492,0,-0.6834185123443604,0.1822473257780075,0.14760221540927887,-0.6913310289382935,106,1,39,0
5946,0.0,0.0,6745,13492,0,-0.6829213500022888,0.18338051438331604,0.14685584604740143,-0.6916815638542175,107,1,39,0
5966,0.0,0.0,6746,13492,0,-0.6829088926315308,0.1844097226858139,0.14626795053482056,-0.691544771194458,106,1,39,0
5996,0.0,0.0,6746,13492,0,-0.6833475232124329,0.18483194708824158,0.1464865654706955,-0.6909522414207458,105,1,39,0
6026,0.0,0.0,6746,13492,0,-0.6840774416923523,0.18496018648147583,0.1469331830739975,-0.6901002526283264,106,1,39,0
6056,0.0,0.0,6746,13492,0,-0.6837597489356995,0.18501700460910797,0.14741888642311096,-0.6902962923049927,108,1,39,0
6092,0.0,0.0,6746,13492,0,-0.6830750107765198,0.1863057017326355,0.1469133198261261,-0.6907352209091187,107,1,39,0
6116,0.0,0.0,6745,13492,0,-0.6830847859382629,0.18687690794467926,0.14668557047843933,-0.6906196475028992,106,1,39,0
6146,0.0,0.0,6746,13492,0,-0.6836384534835815,0.18747128546237946,0.14672987163066864,-0.6899009943008423,106,1,39,0
6176,0.0,0.0,6746,13492,0,-0.6836825013160706,0.1872059404850006,0.14757780730724335,-0.6897484660148621,107,1,39,0
6205,0.0,0.0,6745,13492,0,-0.6834499835968018,0.18773068487644196,0.14759515225887299,-0.6898325681686401,106,1,39,0
6236,0.0,0.0,6746,13492,0,-0.6834173202514648,0.18918344378471375,0.14672541618347168,-0.6896535754203796,106,1,39,0
6266,0.0,0.0,6746,13492,0,-0.6838963031768799,0.19029659032821655,0.14629049599170685,-0.6889645457267761,106,1,39,0
6295,0.0,0.0,6746,13492,0,-0.6833477020263672,0.1896960288286209,0.14746612310409546,-0.689423680305481,107,1,39,0
6325,0.0,0.0,6746,13492,0,-0.6830648183822632,0.1892894059419632,0.14843721687793732,-0.6896073818206787,107,1,39,0
6355,0.0,0.0,6746,13492,0,-0.6827636957168579,0.1896599978208542,0.1486835479736328,-0.6897507309913635,106,1,39,0
6385,0.0,0.0,6746,13492,0,-0.683205246925354,0.19075480103492737,0.1482749879360199,-0.6890991926193237,106,1,39,0
6415,0.0,0.0,6746,13492,0,-0.6830046772956848,0.19075672328472137,0.14881514012813568,-0.6891810894012451,106,1,39,0
6446,0.0,0.0,6746,13492,0,-0.6825622916221619,0.19051742553710938,0.149590864777565,-0.6895174980163574,107,1,39,0
6476,0.0,0.0,6746,13492,0,-0.6826545000076294,0.1902625858783722,0.15044289827346802,-0.6893112063407898,105,1,39,0
